city;population;is_capital
Amsterdam;862965;1
Athens;664046;1
Barcelona;4588000 ;0
Berlin;3644826;1
Bratislava;429564;1
Brussels;1743000;1
Budapest;1752286;1
Copenhagen;602481;1
Dublin;1173179;1
Edinburgh;488050;0
Geneva;201818 ;0
Hamburg;1841179;0
Helsinki;642045;1
Krakow;766739;0
Lisbon;506654 ;1
Ljubljana;286745;1
London;10979000;1
Luxembourg;124509;1
Lyon;516092;0
Madrid;6026000;1
Milan;1366180;0
Munich;1471508;0
Porto;237591;0
Oslo;693494;1
Paris;11020000;1
Prague;1335084;1
Rome;2872800;1
Stockholm;972647;1
Vienna;1911191;1
Warsaw;1790658;1
Zurich;434008;0
